Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sorting,Chrome 132.0.0.0,,,06-02-2025 14:31:08,06-02-2025 14:31:44,"35,974s",PASSED
,,,,,,,
Test Cases/Positive Cases - Sorting - Name(A to Z),Chrome 132.0.0.0,,,06-02-2025 14:31:08,06-02-2025 14:31:22,"14,157s",PASSED
"openBrowser("""")",Chrome 132.0.0.0,,,06-02-2025 14:31:09,06-02-2025 14:31:16,"7,017s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 132.0.0.0,,,06-02-2025 14:31:16,06-02-2025 14:31:17,"0,477s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 132.0.0.0,,,06-02-2025 14:31:17,06-02-2025 14:31:20,"3,384s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 132.0.0.0,,,06-02-2025 14:31:20,06-02-2025 14:31:21,"0,603s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 132.0.0.0,,,06-02-2025 14:31:21,06-02-2025 14:31:21,"0,536s",PASSED
com.test.swaglabs.resetstate.ResetAppState.clickStateAtoZ(),Chrome 132.0.0.0,,,06-02-2025 14:31:21,06-02-2025 14:31:21,"0,013s",NOT_RUN
"verifyElementPresent(findTestObject(""Page_Swag Labs/div_ProductsName (A to Z)Name (A to Z)Name (Z to A)Price (low to high)Price (high to low)""), 0)",Chrome 132.0.0.0,,,06-02-2025 14:31:21,06-02-2025 14:31:22,"0,425s",PASSED
"click(findTestObject(""Page_Swag Labs/span_Name (A to Z)Name (A to Z)Name (Z to A)Price (low to high)Price (high to low)""))",Chrome 132.0.0.0,,,06-02-2025 14:31:22,06-02-2025 14:31:22,"0,460s",PASSED
closeBrowser(),Chrome 132.0.0.0,,,06-02-2025 14:31:22,06-02-2025 14:31:22,"0,425s",PASSED
,,,,,,,
